part_name,part_number,price_usd,product_url,compatible_models
Samsung DB92-02874A PCB ASSEMBLY SUB,DB92-02874A,53.95,https://samsungparts.com/products/db92-02874a,DB92-02874A; AC052MNADKH/EU; AC024MNADCH/AA; AR18HSFSJWKNCV; AR09KSWSJWKNCV; AJ009JNADCH/AA; AR18HSFSHWKNCV; AR12HSFSHWKNCV; AR12KSWSPWKNCV; AJ007JNADCH/AA; AR09HSFSHWKNCV; AJ018JNADCH/AA; AR18KSWSJWKNCV; AM015MNVDCH/AA; AM018MNVDCH/AA; AJ012JNADCH/AA; AJ024JNADCH/AA; AM028MNVDCH/AA; AR12JSFDHWKNCV; AR24HSFSHWKNCV; AC018MNADCH/AA; AR09KSWSPWKNCV; AM009MNVDCH/AA; AM007MNVDCH/AA; AM024MNVDCH/AA; AR09HSFSJWKNCV; AR18NSWXCWKNCV; AR24KSWSJWKNCV; AM012MNVDCH/AA; AR12HSFSJWKNCV; AM005MNVDCH/AA; AR24NSWSPWKNCV; AC012MNADCH/AA; AR24NSWXCWKNCV; AR09JSFDHWKNCV; AR09MSWXCWKNCV; AR12KSWSJWKNCV; AR12MSWXCWKNCV; AR09KSWDHWKNCV; AR24HSFSJWKNCV; AR12KSWDHWKNCV; AR18NSWSPWKNCV
Samsung DB95-04871B Assembly Thermistor Out-Sub Ou,DB95-04871B,101.95,https://samsungparts.com/products/db95-04871b,DB95-04871B
Samsung DB92-03322A Main Pcb Assembly,DB92-03322A,211.95,https://samsungparts.com/products/db92-03322a,DB92-03322A
"Samsung DB32-00277A Sensor Temp;103Hw,L400,10Kohm",DB32-00277A,130.95,https://samsungparts.com/products/db32-00277a,DB32-00277A; SENSOR
Samsung DB95-04871A Assembly Thermistor Out-Sub Ou,DB95-04871A,82.95,https://samsungparts.com/products/db95-04871a,DB95-04871A
Samsung DB95-05164B Assembly Thermistor Out,DB95-05164B,96.95,https://samsungparts.com/products/db95-05164b,DB95-05164B
Samsung DB31-00672A Motor Bldc Fan,DB31-00672A,311.95,https://samsungparts.com/products/db31-00672a,DB31-00672A
Samsung DB94-01550E Assembly Fan Cross,DB94-01550E,152.95,https://samsungparts.com/products/db94-01550e,DB94-01550E
Samsung DB61-04465A Blade-H,DB61-04465A,132.95,https://samsungparts.com/products/db61-04465a,DB61-04465A; BLADE; 3WMD036S61P; AR36DXFUMGMNCV; AC036DNTDCG/AA; AC030DNTDCG/AA; VWMD032S65P; VWMC032S44P; AM032FEQDCG/AA; AM032MNQDCH/AA; AC036BNTDCH/AA; AR36BSHUMGMNCV; AC030BNTDCH/AA; AC030MNTDCH/AA; AQN36VFUAGM/CV; AC036MNTDCH/AA
Samsung DB63-04207A Filter Air Pre Module,DB63-04207A,90.95,https://samsungparts.com/products/db63-04207a,DB63-04207A; FILTER
Samsung DB93-11110A Pcb Assembly Sub-Emi,DB93-11110A,117.95,https://samsungparts.com/products/db93-11110a,DB93-11110A
Samsung DB31-00609A Motor Fan,DB31-00609A,246.95,https://samsungparts.com/products/db31-00609a,DB31-00609A; MOTOR
